,humidity,temperature
2015-01-01 00:00:00-06:00,0.73,38.74
2015-01-01 01:00:00-06:00,0.74,38.56
2015-01-01 02:00:00-06:00,0.75,38.56
2015-01-01 03:00:00-06:00,0.79,37.97
2015-01-01 04:00:00-06:00,0.8,37.78
2015-01-01 05:00:00-06:00,0.92,36.35
2015-01-01 06:00:00-06:00,0.97,35.27
2015-01-01 07:00:00-06:00,0.96,35.46
2015-01-01 08:00:00-06:00,0.96,35.65
2015-01-01 09:00:00-06:00,0.96,36.36
2015-01-01 10:00:00-06:00,0.99,36.92
2015-01-01 11:00:00-06:00,0.98,37.29
2015-01-01 12:00:00-06:00,0.98,37.47
2015-01-01 13:00:00-06:00,0.97,37.95
2015-01-01 14:00:00-06:00,0.97,38.13
2015-01-01 15:00:00-06:00,0.99,38.24
2015-01-01 16:00:00-06:00,0.98,38.64
2015-01-01 17:00:00-06:00,0.99,39.04
2015-01-01 18:00:00-06:00,0.98,39.04
2015-01-01 19:00:00-06:00,0.99,38.83
2015-01-01 20:00:00-06:00,0.99,38.83
2015-01-01 21:00:00-06:00,0.99,39.76
2015-01-01 22:00:00-06:00,0.99,39.76
2015-01-01 23:00:00-06:00,0.99,39.76
2015-01-02 00:00:00-06:00,0.99,39.94
2015-01-02 01:00:00-06:00,0.99,39.76
2015-01-02 02:00:00-06:00,0.99,39.58
2015-01-02 03:00:00-06:00,0.99,38.83
2015-01-02 04:00:00-06:00,0.99,39.02
2015-01-02 05:00:00-06:00,0.99,39.02
2015-01-02 06:00:00-06:00,0.98,39.23
2015-01-02 07:00:00-06:00,0.99,39.02
2015-01-02 08:00:00-06:00,0.99,39.95
2015-01-02 09:00:00-06:00,0.99,40.13
2015-01-02 10:00:00-06:00,0.99,40.83
2015-01-02 11:00:00-06:00,0.96,41.76
2015-01-02 12:00:00-06:00,0.95,42.06
2015-01-02 13:00:00-06:00,0.98,42.65
2015-01-02 14:00:00-06:00,0.99,42.65
2015-01-02 15:00:00-06:00,0.99,42.65
2015-01-02 16:00:00-06:00,0.99,42.65
2015-01-02 17:00:00-06:00,0.99,42.65
